MPN,Datum,Maand,Jaar,MPN-Jaar-Maand,Soort,Mediaan
MPN10019,04/08/08,8,2008,MPN10019 2008 8,Alisma plantago-aquatica,20
MPN9997,26/06/2014,6,2014,MPN9997 2014 6,Alisma plantago-aquatica,20
MPN10157,16/07/2007,7,2007,MPN10157 2007 7,Alisma plantago-aquatica,20
MPN9997,15/06/2015,6,2015,MPN9997 2015 6,Alisma plantago-aquatica,24
MPN9997,12/05/11,5,2011,MPN9997 2011 5,Alisma plantago-aquatica,25
MPN9997,21/05/2012,5,2012,MPN9997 2012 5,Alisma plantago-aquatica,30
MPN9997,08/06/06,6,2006,MPN9997 2006 6,Alisma plantago-aquatica,35
MPN9997,05/06/08,6,2008,MPN9997 2008 6,Alisma plantago-aquatica,35.5
MPN10020,06/07/09,7,2009,MPN10020 2009 7,Alisma plantago-aquatica,38
MPN10020,04/08/08,8,2008,MPN10020 2008 8,Alisma plantago-aquatica,40
MPN9966,20/10/2011,10,2011,MPN9966 2011 10,Alisma plantago-aquatica,40
MPN9966,30/06/2005,6,2005,MPN9966 2005 6,Alisma plantago-aquatica,44
MPN3965,29/08/2011,8,2011,MPN3965 2011 8,Alisma plantago-aquatica,55
MPN9902,15/06/2006,6,2006,MPN9902 2006 6,Alisma plantago-aquatica,75
MPN5842,19/10/2004,10,2004,MPN5842 2004 10,Alisma plantago-aquatica,78
MPN3974,17/09/2002,9,2002,MPN3974 2002 9,Alisma plantago-aquatica,82.395
MPN10164,11/06/10,6,2010,MPN10164 2010 6,Alisma plantago-aquatica,87
MPN10164,22/06/2009,6,2009,MPN10164 2009 6,Alisma plantago-aquatica,98
MPN1955,04/05/01,5,2001,MPN1955 2001 5,Alisma plantago-aquatica,104.83
MPN10164,16/06/2008,6,2008,MPN10164 2008 6,Alisma plantago-aquatica,110
MPN10164,25/06/2007,6,2007,MPN10164 2007 6,Alisma plantago-aquatica,130
MPN10217,24/06/2002,6,2002,MPN10217 2002 6,Alisma plantago-aquatica,130
MPN10041,10/09/12,9,2012,MPN10041 2012 9,Alisma plantago-aquatica,130
MPN5521,29/09/2003,9,2003,MPN5521 2003 9,Alisma plantago-aquatica,130
MPN10164,08/06/15,6,2015,MPN10164 2015 6,Alisma plantago-aquatica,135
MPN1578,14/10/2010,10,2010,MPN1578 2010 10,Alisma plantago-aquatica,150
MPN5518,02/10/08,10,2008,MPN5518 2008 10,Alisma plantago-aquatica,160
MPN10488,10/07/03,7,2003,MPN10488 2003 7,Alisma plantago-aquatica,180
MPN1577,31/08/2004,8,2004,MPN1577 2004 8,Alisma plantago-aquatica,200
MPN10488,26/06/2012,6,2012,MPN10488 2012 6,Alisma plantago-aquatica,220
MPN10354,18/06/2008,6,2008,MPN10354 2008 6,Alisma plantago-aquatica,240
MPN10106,06/10/11,10,2011,MPN10106 2011 10,Alisma plantago-aquatica,310
MPN10407,05/07/04,7,2004,MPN10407 2004 7,Alisma plantago-aquatica,460
MPN10095,16/08/2007,8,2007,MPN10095 2007 8,Alisma plantago-aquatica,480
MPN9310,04/10/10,10,2010,MPN9310 2010 10,Alisma plantago-aquatica,520
MPN9945,14/06/2004,6,2004,MPN9945 2004 6,Alisma plantago-aquatica,590
MPN10251,13/06/2013,6,2013,MPN10251 2013 6,Alisma plantago-aquatica,650
MPN1426,04/10/05,10,2005,MPN1426 2005 10,Aster tripolium,960
MPN1227,19/09/2013,9,2013,MPN1227 2013 9,Aster tripolium,1100
MPN12934,01/07/14,7,2014,MPN12934 2014 7,Aster tripolium,1200
MPN1294,05/10/11,10,2011,MPN1294 2011 10,Aster tripolium,1300
MPN7629,18/10/2010,10,2010,MPN7629 2010 10,Aster tripolium,1410
MPN4093,16/08/2002,8,2002,MPN4093 2002 8,Aster tripolium,1470.8
MPN12934,22/06/2015,6,2015,MPN12934 2015 6,Aster tripolium,1500
MPN5817,08/10/04,10,2004,MPN5817 2004 10,Aster tripolium,1500
MPN5786,01/10/10,10,2010,MPN5786 2010 10,Aster tripolium,1600
MPN10470,18/06/2012,6,2012,MPN10470 2012 6,Aster tripolium,1650
MPN2985,26/04/2010,4,2010,MPN2985 2010 4,Aster tripolium,1700
MPN7877,04/09/06,9,2006,MPN7877 2006 9,Aster tripolium,1800
MPN2985,10/09/10,9,2010,MPN2985 2010 9,Aster tripolium,2110
MPN5791,14/09/2004,9,2004,MPN5791 2004 9,Aster tripolium,2200
MPN5769,06/09/10,9,2010,MPN5769 2010 9,Aster tripolium,2300
MPN1426,27/09/2008,9,2008,MPN1426 2008 9,Aster tripolium,2300
MPN3010,05/08/14,8,2014,MPN3010 2014 8,Aster tripolium,2400
MPN3010,08/07/15,7,2015,MPN3010 2015 7,Aster tripolium,2700
MPN5824,24/09/2004,9,2004,MPN5824 2004 9,Aster tripolium,2700
MPN3956,02/05/02,5,2002,MPN3956 2002 5,Aster tripolium,2759.4
MPN9021,13/08/2012,8,2012,MPN9021 2012 8,Aster tripolium,3000
MPN4039,22/03/2011,3,2011,MPN4039 2011 3,Aster tripolium,3050
MPN10241,08/07/10,7,2010,MPN10241 2010 7,Aster tripolium,3100
MPN1330,08/05/09,5,2009,MPN1330 2009 5,Aster tripolium,3200
MPN1157,13/09/2001,9,2001,MPN1157 2001 9,Aster tripolium,3205.2
MPN7966,21/03/2011,3,2011,MPN7966 2011 3,Aster tripolium,3700
MPN1160,24/08/2011,8,2011,MPN1160 2011 8,Aster tripolium,3900
MPN1501,17/04/2012,4,2012,MPN1501 2012 4,Aster tripolium,4000
MPN1522,03/04/12,4,2012,MPN1522 2012 4,Aster tripolium,4100
MPN3968,21/06/2012,6,2012,MPN3968 2012 6,Aster tripolium,4400
MPN5531,22/06/2010,6,2010,MPN5531 2010 6,Aster tripolium,4400
MPN1199,25/05/2010,5,2010,MPN1199 2010 5,Aster tripolium,4600
MPN3996,05/09/05,9,2005,MPN3996 2005 9,Aster tripolium,4600
MPN9021,24/09/2015,9,2015,MPN9021 2015 9,Aster tripolium,4700
MPN3956,24/09/2002,9,2002,MPN3956 2002 9,Aster tripolium,4809.8
MPN1553,26/10/2006,10,2006,MPN1553 2006 10,Aster tripolium,4900
MPN1169,01/05/06,5,2006,MPN1169 2006 5,Aster tripolium,5300
MPN1917,10/05/10,5,2010,MPN1917 2010 5,Aster tripolium,5400
MPN1917,07/06/05,6,2005,MPN1917 2005 6,Aster tripolium,5500
MPN7966,19/05/2008,5,2008,MPN7966 2008 5,Aster tripolium,5800
MPN3948,28/04/2005,4,2005,MPN3948 2005 4,Aster tripolium,5900
MPN3968,27/05/2002,5,2002,MPN3968 2002 5,Aster tripolium,6088.9
MPN1123,07/05/09,5,2009,MPN1123 2009 5,Aster tripolium,6100
MPN1123,20/08/2012,8,2012,MPN1123 2012 8,Aster tripolium,6400
MPN1169,18/09/2006,9,2006,MPN1169 2006 9,Aster tripolium,6400
MPN5836,07/10/04,10,2004,MPN5836 2004 10,Aster tripolium,6400
MPN5836,14/09/2007,9,2007,MPN5836 2007 9,Aster tripolium,6600
MPN5763,13/09/2010,9,2010,MPN5763 2010 9,Aster tripolium,6800
MPN4096,16/08/2002,8,2002,MPN4096 2002 8,Aster tripolium,6972.7
MPN1444,03/10/08,10,2008,MPN1444 2008 10,Aster tripolium,7000
MPN1123,08/10/07,10,2007,MPN1123 2007 10,Aster tripolium,7000
MPN8666,14/06/2010,6,2010,MPN8666 2010 6,Aster tripolium,7000
MPN5298,23/03/2009,3,2009,MPN5298 2009 3,Aster tripolium,7000
MPN1358,16/06/2014,6,2014,MPN1358 2014 6,Aster tripolium,7100
MPN1474,11/10/10,10,2010,MPN1474 2010 10,Aster tripolium,7200
MPN1199,04/10/10,10,2010,MPN1199 2010 10,Aster tripolium,7200
MPN1262,06/10/15,10,2015,MPN1262 2015 10,Aster tripolium,7200
MPN1169,20/09/2010,9,2010,MPN1169 2010 9,Aster tripolium,7200
MPN1193,23/05/2005,5,2005,MPN1193 2005 5,Aster tripolium,7850
MPN1444,26/09/2005,9,2005,MPN1444 2005 9,Aster tripolium,8000
MPN1917,13/10/2005,10,2005,MPN1917 2005 10,Aster tripolium,8100
MPN1353,21/08/2014,8,2014,MPN1353 2014 8,Aster tripolium,8200
MPN1262,08/10/09,10,2009,MPN1262 2009 10,Aster tripolium,8300
MPN7967,11/05/09,5,2009,MPN7967 2009 5,Aster tripolium,8400
MPN2940,07/06/10,6,2010,MPN2940 2010 6,Aster tripolium,8450
MPN1518,05/10/12,10,2012,MPN1518 2012 10,Aster tripolium,8500
MPN1353,15/09/2008,9,2008,MPN1353 2008 9,Aster tripolium,8500
MPN1499,19/10/2015,10,2015,MPN1499 2015 10,Aster tripolium,8500
MPN1474,18/10/2007,10,2007,MPN1474 2007 10,Aster tripolium,8600
MPN1123,12/06/15,6,2015,MPN1123 2015 6,Aster tripolium,8700
MPN1518,20/09/2001,9,2001,MPN1518 2001 9,Aster tripolium,9065.2
MPN1150,07/06/12,6,2012,MPN1150 2012 6,Aster tripolium,9200
MPN1377,09/06/08,6,2008,MPN1377 2008 6,Aster tripolium,9200
MPN1499,22/10/2012,10,2012,MPN1499 2012 10,Aster tripolium,9300
MPN1123,27/09/2010,9,2010,MPN1123 2010 9,Aster tripolium,9300
MPN1185,07/06/12,6,2012,MPN1185 2012 6,Aster tripolium,9300
MPN1123,08/09/01,9,2001,MPN1123 2001 9,Aster tripolium,9560.1
MPN1193,06/10/05,10,2005,MPN1193 2005 10,Aster tripolium,9600
MPN1270,06/10/08,10,2008,MPN1270 2008 10,Aster tripolium,9700
MPN1499,05/10/06,10,2006,MPN1499 2006 10,Aster tripolium,9800
MPN12590,26/06/2013,6,2013,MPN12590 2013 6,Aster tripolium,9800
MPN1150,07/05/09,5,2009,MPN1150 2009 5,Aster tripolium,9850
MPN1474,20/09/2013,9,2013,MPN1474 2013 9,Aster tripolium,10000
MPN7866,08/06/11,6,2011,MPN7866 2011 6,Aster tripolium,10000
MPN1474,26/07/2004,7,2004,MPN1474 2004 7,Aster tripolium,10000
MPN5751,29/09/2004,9,2004,MPN5751 2004 9,Aster tripolium,10000
MPN1917,20/09/2010,9,2010,MPN1917 2010 9,Aster tripolium,11000
MPN8666,20/10/2010,10,2010,MPN8666 2010 10,Aster tripolium,11000
MPN7605,07/06/10,6,2010,MPN7605 2010 6,Aster tripolium,11000
MPN1377,15/10/2008,10,2008,MPN1377 2008 10,Aster tripolium,11000
MPN1127,07/05/12,5,2012,MPN1127 2012 5,Aster tripolium,11000
MPN1556,27/07/2004,7,2004,MPN1556 2004 7,Aster tripolium,11000
MPN3948,19/09/2005,9,2005,MPN3948 2005 9,Aster tripolium,11000
MPN1377,07/10/05,10,2005,MPN1377 2005 10,Aster tripolium,11000
MPN1269,31/08/2015,8,2015,MPN1269 2015 8,Aster tripolium,12000
MPN5751,03/09/07,9,2007,MPN5751 2007 9,Aster tripolium,12000
MPN8666,25/09/2012,9,2012,MPN8666 2012 9,Aster tripolium,12000
MPN5298,14/09/2009,9,2009,MPN5298 2009 9,Aster tripolium,12000
MPN7967,04/10/11,10,2011,MPN7967 2011 10,Aster tripolium,12000
MPN1137,18/09/2014,9,2014,MPN1137 2014 9,Aster tripolium,12000
MPN1605,28/08/2014,8,2014,MPN1605 2014 8,Aster tripolium,12000
MPN1350,12/05/09,5,2009,MPN1350 2009 5,Aster tripolium,12000
MPN5511,11/09/03,9,2003,MPN5511 2003 9,Aster tripolium,12000
MPN5844,28/09/2004,9,2004,MPN5844 2004 9,Aster tripolium,12000
MPN2940,28/09/2010,9,2010,MPN2940 2010 9,Aster tripolium,13000
MPN1499,19/10/2009,10,2009,MPN1499 2009 10,Aster tripolium,13000
MPN7605,27/09/2010,9,2010,MPN7605 2010 9,Aster tripolium,13000
MPN7969,11/10/07,10,2007,MPN7969 2007 10,Aster tripolium,13000
MPN1143,12/06/14,6,2014,MPN1143 2014 6,Aster tripolium,13000
MPN1350,05/10/09,10,2009,MPN1350 2009 10,Aster tripolium,13000
MPN1499,18/09/2003,9,2003,MPN1499 2003 9,Aster tripolium,13000
MPN1484,02/08/04,8,2004,MPN1484 2004 8,Aster tripolium,13000
MPN7863,05/05/06,5,2006,MPN7863 2006 5,Aster tripolium,13500
MPN5298,08/09/06,9,2006,MPN5298 2006 9,Aster tripolium,14000
MPN7967,20/08/2009,8,2009,MPN7967 2009 8,Aster tripolium,14000
MPN1150,20/08/2009,8,2009,MPN1150 2009 8,Aster tripolium,14000
MPN1204,22/06/2015,6,2015,MPN1204 2015 6,Aster tripolium,14000
MPN5297,18/09/2006,9,2006,MPN5297 2006 9,Aster tripolium,15000
MPN1176,15/06/2015,6,2015,MPN1176 2015 6,Aster tripolium,15000
MPN1205,05/10/15,10,2015,MPN1205 2015 10,Aster tripolium,15000
MPN7865,04/07/11,7,2011,MPN7865 2011 7,Aster tripolium,15500
MPN1277,07/10/03,10,2003,MPN1277 2003 10,Aster tripolium,17500
MPN1268,06/10/03,10,2003,MPN1268 2003 10,Aster tripolium,18000
MPN1197,19/09/2005,9,2005,MPN1197 2005 9,Aster tripolium,18000
MPN1616,20/07/2015,7,2015,MPN1616 2015 7,Aster tripolium,18500
MPN10107,27/06/2005,6,2005,MPN10107 2005 6,Azolla filiculoides,180
MPN5777,06/09/04,9,2004,MPN5777 2004 9,Azolla filiculoides,180
MPN5397,23/08/2012,8,2012,MPN5397 2012 8,Azolla filiculoides,205
MPN10106,20/05/2014,5,2014,MPN10106 2014 5,Azolla filiculoides,205
MPN2994,24/08/2001,8,2001,MPN2994 2001 8,Azolla filiculoides,208.74
MPN10147,14/07/2005,7,2005,MPN10147 2005 7,Azolla filiculoides,220
MPN10468,26/09/2011,9,2011,MPN10468 2011 9,Azolla filiculoides,250
MPN10278,07/08/07,8,2007,MPN10278 2007 8,Azolla filiculoides,320
MPN12884,01/07/15,7,2015,MPN12884 2015 7,Azolla filiculoides,370
MPN5709,06/05/04,5,2004,MPN5709 2004 5,Azolla filiculoides,370
MPN5709,28/07/2004,7,2004,MPN5709 2004 7,Azolla filiculoides,405
MPN5709,28/07/2004,7,2004,MPN5709 2004 7,Azolla filiculoides,405
MPN10485,23/06/2008,6,2008,MPN10485 2008 6,Azolla filiculoides,460
MPN3020,20/08/2012,8,2012,MPN3020 2012 8,Azolla filiculoides,555
MPN7621,21/09/2010,9,2010,MPN7621 2010 9,Azolla filiculoides,810
MPN9947,21/06/2010,6,2010,MPN9947 2010 6,Azolla filiculoides,1000
MPN10361,03/08/00,8,2000,MPN10361 2000 8,Azolla filiculoides,1300
MPN10243,25/06/2004,6,2004,MPN10243 2004 6,Azolla filiculoides,1400
MPN1248,17/09/2001,9,2001,MPN1248 2001 9,Azolla filiculoides,1441.7
MPN3988,10/09/15,9,2015,MPN3988 2015 9,Azolla filiculoides,1800
MPN10455,18/07/2005,7,2005,MPN10455 2005 7,Bolboschoenus maritimus,81
MPN7632,29/09/2005,9,2005,MPN7632 2005 9,Bolboschoenus maritimus,83.5
MPN1536,22/08/2011,8,2011,MPN1536 2011 8,Bolboschoenus maritimus,88
MPN7632,02/05/05,5,2005,MPN7632 2005 5,Bolboschoenus maritimus,95.5
MPN8025,15/10/2007,10,2007,MPN8025 2007 10,Bolboschoenus maritimus,97
MPN1173,14/06/2012,6,2012,MPN1173 2012 6,Bolboschoenus maritimus,105
MPN3950,12/09/02,9,2002,MPN3950 2002 9,Bolboschoenus maritimus,109.55
MPN12980,04/06/14,6,2014,MPN12980 2014 6,Bolboschoenus maritimus,110
MPN1460,04/06/12,6,2012,MPN1460 2012 6,Bolboschoenus maritimus,110
MPN1577,02/10/07,10,2007,MPN1577 2007 10,Bolboschoenus maritimus,110
MPN1566,13/05/2014,5,2014,MPN1566 2014 5,Bolboschoenus maritimus,119.5
MPN10129,17/10/2011,10,2011,MPN10129 2011 10,Bolboschoenus maritimus,120
MPN10055,17/06/2008,6,2008,MPN10055 2008 6,Bolboschoenus maritimus,120
MPN3954,25/09/2007,9,2007,MPN3954 2007 9,Bolboschoenus maritimus,125
MPN5871,16/09/2008,9,2008,MPN5871 2008 9,Bolboschoenus maritimus,130
MPN3954,28/06/2007,6,2007,MPN3954 2007 6,Bolboschoenus maritimus,130
MPN5329,30/03/2006,3,2006,MPN5329 2006 3,Bolboschoenus maritimus,130
MPN10041,10/09/12,9,2012,MPN10041 2012 9,Bolboschoenus maritimus,130
MPN9940,14/06/2010,6,2010,MPN9940 2010 6,Bolboschoenus maritimus,130
MPN10326,28/07/2008,7,2008,MPN10326 2008 7,Bolboschoenus maritimus,130
MPN5776,27/08/2007,8,2007,MPN5776 2007 8,Bolboschoenus maritimus,130
MPN5406,01/09/09,9,2009,MPN5406 2009 9,Bolboschoenus maritimus,140
MPN5713,03/05/04,5,2004,MPN5713 2004 5,Bolboschoenus maritimus,140
MPN5713,06/09/04,9,2004,MPN5713 2004 9,Bolboschoenus maritimus,140
MPN10129,01/07/10,7,2010,MPN10129 2010 7,Bolboschoenus maritimus,150
MPN5518,02/10/08,10,2008,MPN5518 2008 10,Bolboschoenus maritimus,160
MPN7964,04/09/06,9,2006,MPN7964 2006 9,Bolboschoenus maritimus,160
MPN10121,17/06/2003,6,2003,MPN10121 2003 6,Bolboschoenus maritimus,170
MPN1562,04/10/02,10,2002,MPN1562 2002 10,Bolboschoenus maritimus,176.09
MPN10335,22/06/2009,6,2009,MPN10335 2009 6,Bolboschoenus maritimus,190
MPN7944,15/09/2006,9,2006,MPN7944 2006 9,Bolboschoenus maritimus,200
MPN1577,31/08/2004,8,2004,MPN1577 2004 8,Bolboschoenus maritimus,200
MPN2994,24/08/2001,8,2001,MPN2994 2001 8,Bolboschoenus maritimus,208.74
MPN10090,07/08/06,8,2006,MPN10090 2006 8,Bolboschoenus maritimus,210
MPN1279,22/09/2008,9,2008,MPN1279 2008 9,Bolboschoenus maritimus,210
MPN9989,08/09/11,9,2011,MPN9989 2011 9,Bolboschoenus maritimus,210
MPN9940,10/06/04,6,2004,MPN9940 2004 6,Bolboschoenus maritimus,210
MPN7955,28/08/2006,8,2006,MPN7955 2006 8,Bolboschoenus maritimus,210
MPN5406,07/09/15,9,2015,MPN5406 2015 9,Bolboschoenus maritimus,210
MPN10249,28/06/2010,6,2010,MPN10249 2010 6,Bolboschoenus maritimus,220
MPN5772,06/09/04,9,2004,MPN5772 2004 9,Bolboschoenus maritimus,220
MPN1461,23/10/2006,10,2006,MPN1461 2006 10,Bolboschoenus maritimus,230
MPN1356,20/06/2013,6,2013,MPN1356 2013 6,Bolboschoenus maritimus,230
MPN9550,23/09/2013,9,2013,MPN9550 2013 9,Bolboschoenus maritimus,240
MPN7953,28/08/2006,8,2006,MPN7953 2006 8,Bolboschoenus maritimus,240
MPN11876,07/07/11,7,2011,MPN11876 2011 7,Bolboschoenus maritimus,273.5
MPN12595,11/07/13,7,2013,MPN12595 2013 7,Bolboschoenus maritimus,275
MPN7926,12/09/06,9,2006,MPN7926 2006 9,Bolboschoenus maritimus,280
MPN5353,24/08/2006,8,2006,MPN5353 2006 8,Bolboschoenus maritimus,280
MPN5856,28/09/2007,9,2007,MPN5856 2007 9,Bolboschoenus maritimus,280
MPN7864,30/07/2012,7,2012,MPN7864 2012 7,Bolboschoenus maritimus,280
MPN10106,23/06/2005,6,2005,MPN10106 2005 6,Bolboschoenus maritimus,290
MPN7950,11/09/06,9,2006,MPN7950 2006 9,Bolboschoenus maritimus,290
MPN10481,31/05/2012,5,2012,MPN10481 2012 5,Bolboschoenus maritimus,290
MPN7413,12/04/13,4,2013,MPN7413 2013 4,Bolboschoenus maritimus,290
MPN10326,27/06/2002,6,2002,MPN10326 2002 6,Bolboschoenus maritimus,305
MPN5353,31/03/2006,3,2006,MPN5353 2006 3,Bolboschoenus maritimus,310
MPN10106,06/10/11,10,2011,MPN10106 2011 10,Bolboschoenus maritimus,310
MPN10045,31/07/2008,7,2008,MPN10045 2008 7,Bolboschoenus maritimus,320
MPN10278,07/08/07,8,2007,MPN10278 2007 8,Bolboschoenus maritimus,320
MPN4017,12/09/05,9,2005,MPN4017 2005 9,Bolboschoenus maritimus,330
MPN5772,07/09/10,9,2010,MPN5772 2010 9,Bolboschoenus maritimus,340
MPN1559,09/09/08,9,2008,MPN1559 2008 9,Bolboschoenus maritimus,350
MPN10055,06/06/02,6,2002,MPN10055 2002 6,Bolboschoenus maritimus,365
MPN12884,01/07/15,7,2015,MPN12884 2015 7,Bolboschoenus maritimus,370
MPN5709,06/05/04,5,2004,MPN5709 2004 5,Bolboschoenus maritimus,370
MPN10091,01/08/06,8,2006,MPN10091 2006 8,Bolboschoenus maritimus,380
MPN5835,07/09/07,9,2007,MPN5835 2007 9,Bolboschoenus maritimus,380
MPN1455,10/07/13,7,2013,MPN1455 2013 7,Bolboschoenus maritimus,380
MPN10140,20/05/2005,5,2005,MPN10140 2005 5,Bolboschoenus maritimus,380
MPN11867,19/09/2011,9,2011,MPN11867 2011 9,Bolboschoenus maritimus,385
MPN1249,06/08/12,8,2012,MPN1249 2012 8,Bolboschoenus maritimus,390
MPN10037,17/07/2001,7,2001,MPN10037 2001 7,Bolboschoenus maritimus,400
MPN1586,14/09/2010,9,2010,MPN1586 2010 9,Bolboschoenus maritimus,400
MPN5709,24/08/2011,8,2011,MPN5709 2011 8,Bolboschoenus maritimus,400
MPN12884,07/07/14,7,2014,MPN12884 2014 7,Bolboschoenus maritimus,400
MPN10333,04/07/03,7,2003,MPN10333 2003 7,Bolboschoenus maritimus,400
MPN5709,28/07/2004,7,2004,MPN5709 2004 7,Bolboschoenus maritimus,405
MPN5709,28/07/2004,7,2004,MPN5709 2004 7,Bolboschoenus maritimus,405
MPN5709,04/06/15,6,2015,MPN5709 2015 6,Bolboschoenus maritimus,410
MPN10049,26/06/2008,6,2008,MPN10049 2008 6,Bolboschoenus maritimus,410
MPN7407,12/04/05,4,2005,MPN7407 2005 4,Bolboschoenus maritimus,410
MPN1586,24/06/2015,6,2015,MPN1586 2015 6,Bolboschoenus maritimus,420
MPN10338,29/06/2004,6,2004,MPN10338 2004 6,Bolboschoenus maritimus,430
MPN9959,26/06/2006,6,2006,MPN9959 2006 6,Bolboschoenus maritimus,430
MPN1249,21/08/2006,8,2006,MPN1249 2006 8,Bolboschoenus maritimus,430
MPN5857,30/09/2004,9,2004,MPN5857 2004 9,Bolboschoenus maritimus,440
MPN10485,23/06/2008,6,2008,MPN10485 2008 6,Bolboschoenus maritimus,460
MPN3953,19/06/2007,6,2007,MPN3953 2007 6,Bolboschoenus maritimus,470
MPN10325,27/06/2002,6,2002,MPN10325 2002 6,Bolboschoenus maritimus,475
MPN10436,21/06/2006,6,2006,MPN10436 2006 6,Bolboschoenus maritimus,480
MPN10095,16/08/2007,8,2007,MPN10095 2007 8,Bolboschoenus maritimus,480
MPN10103,11/06/13,6,2013,MPN10103 2013 6,Bolboschoenus maritimus,500
MPN10339,05/07/04,7,2004,MPN10339 2004 7,Bolboschoenus maritimus,520
MPN7892,01/09/15,9,2015,MPN7892 2015 9,Bolboschoenus maritimus,520
MPN3020,20/08/2012,8,2012,MPN3020 2012 8,Bolboschoenus maritimus,555
MPN10091,05/09/11,9,2011,MPN10091 2011 9,Bolboschoenus maritimus,560
MPN10285,31/10/2011,10,2011,MPN10285 2011 10,Bolboschoenus maritimus,560
MPN7887,17/08/2006,8,2006,MPN7887 2006 8,Bolboschoenus maritimus,570
MPN5787,30/08/2004,8,2004,MPN5787 2004 8,Bolboschoenus maritimus,570
MPN9989,13/07/2001,7,2001,MPN9989 2001 7,Bolboschoenus maritimus,580
MPN9973,13/07/2001,7,2001,MPN9973 2001 7,Bolboschoenus maritimus,580
MPN10251,29/05/2000,5,2000,MPN10251 2000 5,Bolboschoenus maritimus,580
MPN9989,07/07/05,7,2005,MPN9989 2005 7,Bolboschoenus maritimus,580
MPN10285,27/05/2015,5,2015,MPN10285 2015 5,Bolboschoenus maritimus,580
MPN10048,26/06/2008,6,2008,MPN10048 2008 6,Bolboschoenus maritimus,580
MPN10053,30/06/2008,6,2008,MPN10053 2008 6,Bolboschoenus maritimus,580
MPN9945,14/06/2004,6,2004,MPN9945 2004 6,Bolboschoenus maritimus,590
MPN10371,16/10/2014,10,2014,MPN10371 2014 10,Bolboschoenus maritimus,590
MPN13410,17/08/2015,8,2015,MPN13410 2015 8,Bolboschoenus maritimus,600
MPN7355,15/09/2005,9,2005,MPN7355 2005 9,Bolboschoenus maritimus,600
MPN10251,17/06/2014,6,2014,MPN10251 2014 6,Bolboschoenus maritimus,610
MPN2995,24/08/2001,8,2001,MPN2995 2001 8,Bolboschoenus maritimus,618.97
MPN3946,30/09/2002,9,2002,MPN3946 2002 9,Bolboschoenus maritimus,631.04
MPN9937,01/07/03,7,2003,MPN9937 2003 7,Bolboschoenus maritimus,650
MPN5743,30/09/2004,9,2004,MPN5743 2004 9,Bolboschoenus maritimus,650
MPN1251,11/10/07,10,2007,MPN1251 2007 10,Bolboschoenus maritimus,660
MPN3946,22/04/2002,4,2002,MPN3946 2002 4,Bolboschoenus maritimus,663.49
MPN1481,27/09/2012,9,2012,MPN1481 2012 9,Bolboschoenus maritimus,670
MPN10093,16/08/2007,8,2007,MPN10093 2007 8,Bolboschoenus maritimus,670
MPN9973,16/09/2011,9,2011,MPN9973 2011 9,Bolboschoenus maritimus,670
MPN9947,14/06/2004,6,2004,MPN9947 2004 6,Bolboschoenus maritimus,670
MPN9989,13/07/2000,7,2000,MPN9989 2000 7,Bolboschoenus maritimus,680
MPN3946,15/09/2005,9,2005,MPN3946 2005 9,Bolboschoenus maritimus,690
MPN5309,17/09/2009,9,2009,MPN5309 2009 9,Bolboschoenus maritimus,700
MPN10285,21/06/2004,6,2004,MPN10285 2004 6,Bolboschoenus maritimus,700
MPN8150,17/09/2007,9,2007,MPN8150 2007 9,Bolboschoenus maritimus,700
MPN10435,26/07/2001,7,2001,MPN10435 2001 7,Bolboschoenus maritimus,710
MPN10264,17/06/2004,6,2004,MPN10264 2004 6,Bolboschoenus maritimus,730
MPN4016,15/08/2002,8,2002,MPN4016 2002 8,Bolboschoenus maritimus,740.31
MPN2137,24/08/2012,8,2012,MPN2137 2012 8,Bolboschoenus maritimus,745
MPN10285,17/06/2014,6,2014,MPN10285 2014 6,Bolboschoenus maritimus,770
MPN10436,23/07/2007,7,2007,MPN10436 2007 7,Bolboschoenus maritimus,780
MPN7362,11/10/05,10,2005,MPN7362 2005 10,Bolboschoenus maritimus,810
MPN10485,26/07/2010,7,2010,MPN10485 2010 7,Bolboschoenus maritimus,820
MPN1236,22/10/2009,10,2009,MPN1236 2009 10,Bolboschoenus maritimus,820
MPN1507,02/08/12,8,2012,MPN1507 2012 8,Bolboschoenus maritimus,830
MPN8145,24/08/2007,8,2007,MPN8145 2007 8,Bolboschoenus maritimus,830
MPN10446,20/08/2007,8,2007,MPN10446 2007 8,Bolboschoenus maritimus,840
MPN4062,08/10/08,10,2008,MPN4062 2008 10,Bolboschoenus maritimus,850
MPN10103,16/08/2011,8,2011,MPN10103 2011 8,Bolboschoenus maritimus,860
MPN2137,26/09/2013,9,2013,MPN2137 2013 9,Bolboschoenus maritimus,860
MPN7398,28/03/2011,3,2011,MPN7398 2011 3,Bolboschoenus maritimus,860
MPN3958,26/04/2002,4,2002,MPN3958 2002 4,Bolboschoenus maritimus,865.77
MPN10466,26/06/2006,6,2006,MPN10466 2006 6,Bolboschoenus maritimus,880
MPN10086,14/10/2014,10,2014,MPN10086 2014 10,Bolboschoenus maritimus,880
MPN9952,26/06/2006,6,2006,MPN9952 2006 6,Bolboschoenus maritimus,900
MPN10124,27/07/2006,7,2006,MPN10124 2006 7,Bolboschoenus maritimus,920
MPN11866,15/09/2011,9,2011,MPN11866 2011 9,Bolboschoenus maritimus,930
